date,close,probability,label,trained_on
2009-10-02,1025.2100,0.07730418,0,1
2009-10-05,1040.4600,0.06676572,0,1
2009-10-06,1054.7200,0.06172004,0,1
2009-10-07,1057.5800,0.06103804,0,1
2009-10-08,1065.4800,0.06161209,0,1
2009-10-09,1071.4900,0.05024453,0,1
2009-10-12,1076.1899,0.04984651,0,1
2009-10-13,1073.1899,0.05066587,0,1
2009-10-14,1092.0200,0.05069585,0,1
2009-10-15,1096.5601,0.04120077,0,1
2009-10-16,1087.6801,0.03990626,0,1
2009-10-19,1097.9100,0.04560668,0,1
2009-10-20,1091.0601,0.04682462,0,1
2009-10-21,1081.4000,0.05547977,0,1
2009-10-22,1092.9100,0.04658110,0,1
2009-10-23,1079.6000,0.06065446,0,1
2009-10-26,1066.9500,0.07483435,0,1
2009-10-27,1063.4100,0.09221616,0,1
2009-10-28,1042.6300,0.12777439,0,1
2009-10-29,1066.1100,0.09253002,1,1
2009-10-30,1036.1899,0.13355141,0,1
2009-11-02,1042.8800,0.13036458,0,1
2009-11-03,1045.4100,0.10215436,0,1
2009-11-04,1046.5000,0.09425449,0,1
2009-11-05,1066.6300,0.07866603,0,1
2009-11-06,1069.3000,0.06859286,0,1
2009-11-09,1093.0800,0.07981559,0,1
2009-11-10,1093.0100,0.05789269,0,1
2009-11-11,1098.5100,0.06000527,0,1
2009-11-12,1087.2400,0.06011417,0,1
2009-11-13,1093.4800,0.05049210,0,1
2009-11-16,1109.3000,0.05566790,0,1
2009-11-17,1110.3199,0.04509286,0,1
2009-11-18,1109.8000,0.03964339,0,1
2009-11-19,1094.9000,0.05060700,0,1
2009-11-20,1091.3800,0.05100090,0,1
2009-11-23,1106.2400,0.03981147,0,1
2009-11-24,1105.6500,0.03539559,0,1
2009-11-25,1110.6300,0.03656235,0,1
2009-11-27,1091.4900,0.06744438,0,1
2009-11-30,1095.6300,0.06017440,0,1
2009-12-01,1108.8600,0.03954215,0,1
2009-12-02,1109.2400,0.03158222,0,1
2009-12-03,1099.9200,0.04233491,0,1
2009-12-04,1105.9800,0.03092754,0,1
2009-12-07,1103.2500,0.03543343,0,1
2009-12-08,1091.9399,0.04677322,0,1
2009-12-09,1095.9500,0.03788126,0,1
2009-12-10,1102.3500,0.03884018,0,1
2009-12-11,1106.4100,0.03071528,0,1
2009-12-14,1114.1100,0.02910070,0,1
2009-12-15,1107.9301,0.03198998,0,1
2009-12-16,1109.1801,0.02740244,0,1
2009-12-17,1096.0800,0.04865105,0,1
2009-12-18,1102.4700,0.03677144,0,1
2009-12-21,1114.0500,0.02968194,0,1
2009-12-22,1118.0200,0.02574217,0,1
2009-12-23,1120.5900,0.02703617,0,1
2009-12-24,1126.4800,0.02501409,0,1
2009-12-28,1127.7800,0.02739927,0,1
2009-12-29,1126.2000,0.02684369,0,1
2009-12-30,1126.4200,0.02751615,0,1
2009-12-31,1115.1000,0.03485874,0,1
2010-01-04,1132.9900,0.02619775,0,1
2010-01-05,1136.5200,0.02479481,0,1
2010-01-06,1137.1400,0.03119765,0,1
2010-01-07,1141.6899,0.03172782,0,1
2010-01-08,1144.9800,0.02565477,0,1
2010-01-11,1146.9800,0.01733823,0,1
2010-01-12,1136.2200,0.02078847,0,1
2010-01-13,1145.6801,0.01844654,0,1
2010-01-14,1148.4600,0.02270974,0,1
2010-01-15,1136.0300,0.01893366,0,1
2010-01-19,1150.2300,0.01942264,0,1
2010-01-20,1138.0400,0.02894239,0,1
2010-01-21,1116.4800,0.06101691,1,1
2010-01-22,1091.7600,0.09112094,0,1
2010-01-25,1096.7800,0.07637079,0,1
2010-01-26,1092.1700,0.06021782,0,1
2010-01-27,1097.5000,0.05702989,0,1
2010-01-28,1084.5300,0.05829631,0,1
2010-01-29,1073.8700,0.06167105,0,1
2010-02-01,1089.1899,0.06158407,0,1
2010-02-02,1103.3199,0.05235105,0,1
2010-02-03,1097.2800,0.05480820,1,1
2010-02-04,1063.1100,0.08859390,0,1
2010-02-05,1066.1899,0.08805701,0,1
2010-02-08,1056.7400,0.08860050,0,1
2010-02-09,1070.5200,0.08153729,0,1
2010-02-10,1068.1300,0.07339237,0,1
2010-02-11,1078.4700,0.07053169,0,1
2010-02-12,1075.5100,0.05407675,0,1
2010-02-16,1094.8700,0.05572591,0,1
2010-02-17,1099.5100,0.05017816,0,1
2010-02-18,1106.7500,0.03644776,0,1
2010-02-19,1109.1700,0.03598765,0,1
2010-02-22,1108.0100,0.04266658,0,1
2010-02-23,1094.6000,0.05377314,0,1
2010-02-24,1105.2400,0.04275202,0,1
2010-02-25,1102.9399,0.03789137,0,1
2010-02-26,1104.4900,0.03776140,0,1
2010-03-01,1115.7100,0.03577555,0,1
2010-03-02,1118.3101,0.03671442,0,1
2010-03-03,1118.7900,0.03547043,0,1
2010-03-04,1122.9700,0.03544870,0,1
2010-03-05,1138.7000,0.02599498,0,1
2010-03-08,1138.5000,0.02964234,0,1
2010-03-09,1140.4500,0.03208963,0,1
2010-03-10,1145.6100,0.03442255,0,1
2010-03-11,1150.2400,0.02506740,0,1
2010-03-12,1149.9900,0.02553185,0,1
2010-03-15,1150.5100,0.02511408,0,1
2010-03-16,1159.4600,0.02802611,0,1
2010-03-17,1166.2100,0.02292680,0,1
2010-03-18,1165.8300,0.02253941,0,1
2010-03-19,1159.9000,0.02355694,0,1
2010-03-22,1165.8101,0.02003286,0,1
2010-03-23,1174.1700,0.01910935,0,1
2010-03-24,1167.7200,0.02950805,0,1
2010-03-25,1165.7300,0.03515651,0,1
2010-03-26,1166.5900,0.03272020,0,1
2010-03-29,1173.2200,0.03190608,0,1
2010-03-30,1173.2700,0.02904183,0,1
2010-03-31,1169.4301,0.03387679,0,1
2010-04-01,1178.1000,0.03055205,0,1
2010-04-05,1187.4399,0.03000546,0,1
2010-04-06,1189.4399,0.02532760,0,1
2010-04-07,1182.4500,0.02741263,0,1
2010-04-08,1186.4399,0.02737429,0,1
2010-04-09,1194.3700,0.02651941,0,1
2010-04-12,1196.4800,0.01662365,0,1
2010-04-13,1197.3000,0.02202944,0,1
2010-04-14,1210.6500,0.01497074,0,1
2010-04-15,1211.6700,0.01687411,0,1
2010-04-16,1192.1300,0.02893049,0,1
2010-04-19,1197.5200,0.02234799,0,1
2010-04-20,1207.1700,0.01272121,0,1
2010-04-21,1205.9399,0.01571082,0,1
2010-04-22,1208.6700,0.01395794,0,1
2010-04-23,1217.2800,0.01629952,0,1
2010-04-26,1212.0500,0.01994018,1,1
2010-04-27,1183.7100,0.05129574,0,1
2010-04-28,1191.3600,0.03189648,0,1
2010-04-29,1206.7800,0.01751486,0,1
2010-04-30,1186.6899,0.02898468,0,1
2010-05-03,1202.2600,0.01907234,1,1
2010-05-04,1173.6000,0.03108966,0,1
2010-05-05,1165.8700,0.03063900,1,1
2010-05-06,1128.1500,0.20149192,0,1
2010-05-07,1110.8800,0.06516035,0,1
2010-05-10,1159.7300,0.04465347,0,1
2010-05-11,1155.7900,0.04349648,0,1
2010-05-12,1171.6700,0.03948722,0,1
2010-05-13,1157.4399,0.04330877,0,1
2010-05-14,1135.6801,0.05540862,0,1
2010-05-17,1136.9399,0.05515544,0,1
2010-05-18,1120.8000,0.06183038,0,1
2010-05-19,1115.0500,0.06028748,1,1
2010-05-20,1071.5900,0.07700390,0,1
2010-05-21,1087.6899,0.07679082,0,1
2010-05-24,1073.6500,0.06990151,0,1
2010-05-25,1074.0300,0.06801786,0,1
2010-05-26,1067.9500,0.09500447,0,1
2010-05-27,1103.0601,0.06691346,0,1
2010-05-28,1089.4100,0.08227723,0,1
2010-06-01,1070.7100,0.11658219,0,1
2010-06-02,1098.3800,0.08915409,0,1
2010-06-03,1102.8300,0.08045376,1,1
2010-06-04,1064.8800,0.11416822,0,1
2010-06-07,1050.4700,0.12430892,0,1
2010-06-08,1062.0000,0.11252977,0,1
2010-06-09,1055.6899,0.10629896,0,1
2010-06-10,1086.8400,0.08871462,0,1
2010-06-11,1091.6000,0.06826564,0,1
2010-06-14,1089.6300,0.06732570,0,1
2010-06-15,1115.2300,0.05453627,0,1
2010-06-16,1114.6100,0.05469769,0,1
2010-06-17,1116.0400,0.05164372,0,1
2010-06-18,1117.5100,0.03894159,0,1
2010-06-21,1113.2000,0.06143874,0,1
2010-06-22,1095.3101,0.07412365,0,1
2010-06-23,1092.0400,0.06672135,0,1
2010-06-24,1073.6899,0.07649311,0,1
2010-06-25,1076.7600,0.06387957,0,1
2010-06-28,1074.5699,0.06755488,1,1
2010-06-29,1041.2400,0.09752240,0,1
2010-06-30,1030.7100,0.09263074,0,1
2010-07-01,1027.3700,0.08081057,0,1
2010-07-02,1022.5800,0.06071871,0,1
2010-07-06,1028.0601,0.07806906,0,1
2010-07-07,1060.2700,0.06535362,0,1
2010-07-08,1070.2500,0.06133152,0,1
2010-07-09,1077.9600,0.06028945,0,1
2010-07-12,1078.7500,0.04769640,0,1
2010-07-13,1095.3400,0.04431346,0,1
2010-07-14,1095.1700,0.04158820,0,1
2010-07-15,1096.4800,0.04289488,1,1
2010-07-16,1064.8800,0.04517193,0,1
2010-07-19,1071.2500,0.05005103,0,1
2010-07-20,1083.4800,0.04617515,0,1
2010-07-21,1069.5900,0.06779060,0,1
2010-07-22,1093.6700,0.05953836,0,1
2010-07-23,1102.6600,0.05023996,0,1
2010-07-26,1115.0100,0.04382623,0,1
2010-07-27,1113.8400,0.04766979,0,1
2010-07-28,1106.1300,0.06518165,0,1
2010-07-29,1101.5300,0.05006577,0,1
2010-07-30,1101.6000,0.03870833,0,1
2010-08-02,1125.8600,0.03162574,0,1
2010-08-03,1120.4600,0.03339270,0,1
2010-08-04,1127.2400,0.03161627,0,1
2010-08-05,1125.8101,0.03052097,0,1
2010-08-06,1121.6400,0.03037256,0,1
2010-08-09,1127.7900,0.03332367,0,1
2010-08-10,1121.0601,0.03331517,1,1
2010-08-11,1089.4700,0.05116822,0,1
2010-08-12,1083.6100,0.04861861,0,1
2010-08-13,1079.2500,0.04679318,0,1
2010-08-16,1079.3800,0.03961304,0,1
2010-08-17,1092.5400,0.03060089,0,1
2010-08-18,1094.1600,0.03387582,0,1
2010-08-19,1075.6300,0.04775860,0,1
2010-08-20,1071.6899,0.03758440,0,1
2010-08-23,1067.3600,0.05063295,0,1
2010-08-24,1051.8700,0.06639116,0,1
2010-08-25,1055.3300,0.05568682,0,1
2010-08-26,1047.2200,0.06374479,0,1
2010-08-27,1064.5900,0.04530520,0,1
2010-08-30,1048.9200,0.06183730,0,1
2010-08-31,1049.3300,0.05882775,0,1
2010-09-01,1080.2900,0.04428012,0,1
2010-09-02,1090.1000,0.04334214,0,1
2010-09-03,1104.5100,0.03366420,0,1
2010-09-07,1091.8400,0.05440448,0,1
2010-09-08,1098.8700,0.05247169,0,1
2010-09-09,1104.1801,0.04775887,0,1
2010-09-10,1109.5500,0.03911085,0,1
2010-09-13,1121.9000,0.03681889,0,1
2010-09-14,1121.1000,0.04457406,0,1
2010-09-15,1125.0699,0.04854239,0,1
2010-09-16,1124.6600,0.03757286,0,1
2010-09-17,1125.5900,0.03818365,0,1
2010-09-20,1142.7100,0.03579405,0,1
2010-09-21,1139.7800,0.04687473,0,1
2010-09-22,1134.2800,0.04853089,0,1
2010-09-23,1124.8300,0.05140203,0,1
2010-09-24,1148.6700,0.03406107,0,1
2010-09-27,1142.1600,0.04141657,0,1
2010-09-28,1147.7000,0.03854499,0,1
2010-09-29,1144.7300,0.03585828,0,1
2010-09-30,1141.2000,0.03589646,0,1
2010-10-01,1146.2400,0.03084004,0,1
2010-10-04,1137.0300,0.03943939,0,1
2010-10-05,1160.7500,0.02888362,0,1
2010-10-06,1159.9700,0.03203763,0,1
2010-10-07,1158.0601,0.03149550,0,1
2010-10-08,1165.1500,0.02770816,0,1
2010-10-11,1165.3199,0.01335655,0,1
2010-10-12,1169.7700,0.01570613,0,1
2010-10-13,1178.1000,0.01919591,0,1
2010-10-14,1173.8101,0.01957874,0,1
2010-10-15,1176.1899,0.01646967,0,1
2010-10-18,1184.7100,0.02240896,0,1
2010-10-19,1165.9000,0.03616226,0,1
2010-10-20,1178.1700,0.03731394,0,1
2010-10-21,1180.2600,0.03534109,0,1
2010-10-22,1183.0800,0.03707163,0,1
2010-10-25,1185.6200,0.04890202,0,1
2010-10-26,1185.6400,0.04969580,0,1
2010-10-27,1182.4500,0.04928454,0,1
2010-10-28,1183.7800,0.05134270,0,1
2010-10-29,1183.2600,0.05273976,0,1
2010-11-01,1184.3800,0.05645855,0,1
2010-11-02,1193.5699,0.05743250,0,1
2010-11-03,1197.9600,0.03948748,0,1
2010-11-04,1221.0601,0.03414937,0,1
2010-11-05,1225.8500,0.02673550,0,1
2010-11-08,1223.2500,0.02470359,0,1
2010-11-09,1213.4000,0.02297861,0,1
2010-11-10,1218.7100,0.01929737,0,1
2010-11-11,1213.5400,0.01931392,0,1
2010-11-12,1199.2100,0.02325084,0,1
2010-11-15,1197.7500,0.02034195,0,1
2010-11-16,1178.3400,0.03384941,0,1
2010-11-17,1178.5900,0.02579935,0,1
2010-11-18,1196.6899,0.01250795,0,1
2010-11-19,1199.7300,0.01407823,0,1
2010-11-22,1197.8400,0.01867955,0,1
2010-11-23,1180.7300,0.02843271,0,1
2010-11-24,1198.3500,0.02114523,0,1
2010-11-26,1189.4000,0.06842130,0,1
2010-11-29,1187.7600,0.03144197,0,1
